Time	Position
0	0
0.001	0.007
0.002	0.014
0.003	0.0209999
0.004	0.0279998
0.005	0.0349997
0.006	0.0419994
0.007	0.0489991
0.008	0.0559986
0.009	0.062998
0.01	0.0699972
0.011	0.0769963
0.012	0.0839952
0.013	0.0909939
0.014	0.0979924
0.015	0.104991
0.016	0.111989
0.017	0.118986
0.018	0.125984
0.019	0.132981
0.02	0.139978
0.021	0.146974
0.022	0.15397
0.023	0.160966
0.024	0.167961
0.025	0.174956
0.026	0.181951
0.027	0.188945
0.028	0.195939
0.029	0.202932
0.03	0.209925
0.031	0.216917
0.032	0.223909
0.033	0.2309
0.034	0.23789
0.035	0.24488
0.036	0.25187
0.037	0.258859
0.038	0.265847
0.039	0.272834
0.04	0.279821
0.041	0.286807
0.042	0.293793
0.043	0.300778
0.044	0.307762
0.045	0.314745
0.046	0.321728
0.047	0.32871
0.048	0.335691
0.049	0.342671
0.05	0.349651
0.051	0.356629
0.052	0.363607
0.053	0.370584
0.054	0.37756
0.055	0.384535
0.056	0.391509
0.057	0.398482
0.058	0.405454
0.059	0.412425
0.06	0.419395
0.061	0.426365
0.062	0.433333
0.063	0.4403
0.064	0.447266
0.065	0.454231
0.066	0.461195
0.067	0.468157
0.068	0.475119
0.069	0.482079
0.07	0.489038
0.071	0.495996
0.072	0.502953
0.073	0.509909
0.074	0.516863
0.075	0.523816
0.076	0.530767
0.077	0.537718
0.078	0.544667
0.079	0.551614
0.08	0.558561
0.081	0.565505
0.082	0.572449
0.083	0.579391
0.084	0.586331
0.085	0.59327
0.086	0.600208
0.087	0.607144
0.088	0.614078
0.089	0.621011
0.09	0.627942
0.091	0.634872
0.092	0.6418
0.093	0.648726
0.094	0.655651
0.095	0.662574
0.096	0.669495
0.097	0.676414
0.098	0.683332
0.099	0.690248
0.1	0.697162
0.101	0.704074
0.102	0.710984
0.103	0.717892
0.104	0.724798
0.105	0.731703
0.106	0.738605
0.107	0.745505
0.108	0.752403
0.109	0.759299
0.11	0.766193
0.111	0.773085
0.112	0.779975
0.113	0.786862
0.114	0.793747
0.115	0.80063
0.116	0.807511
0.117	0.814389
0.118	0.821264
0.119	0.828138
0.12	0.835009
0.121	0.841877
0.122	0.848743
0.123	0.855606
0.124	0.862467
0.125	0.869324
0.126	0.87618
0.127	0.883032
0.128	0.889882
0.129	0.896729
0.13	0.903573
0.131	0.910414
0.132	0.917252
0.133	0.924087
0.134	0.930919
0.135	0.937748
0.136	0.944573
0.137	0.951396
0.138	0.958215
0.139	0.965031
0.14	0.971843
0.141	0.978652
0.142	0.985458
0.143	0.99226
0.144	0.999058
0.145	1.00585
0.146	1.01264
0.147	1.01943
0.148	1.02621
0.149	1.03299
0.15	1.03977
0.151	1.04654
0.152	1.05331
0.153	1.06007
0.154	1.06683
0.155	1.07358
0.156	1.08033
0.157	1.08708
0.158	1.09382
0.159	1.10055
0.16	1.10728
0.161	1.11401
0.162	1.12073
0.163	1.12744
0.164	1.13416
0.165	1.14086
0.166	1.14756
0.167	1.15425
0.168	1.16094
0.169	1.16763
0.17	1.1743
0.171	1.18098
0.172	1.18764
0.173	1.1943
0.174	1.20095
0.175	1.2076
0.176	1.21424
0.177	1.22087
0.178	1.2275
0.179	1.23412
0.18	1.24073
0.181	1.24733
0.182	1.25393
0.183	1.26052
0.184	1.2671
0.185	1.27368
0.186	1.28025
0.187	1.2868
0.188	1.29335
0.189	1.29989
0.19	1.30643
0.191	1.31295
0.192	1.31947
0.193	1.32597
0.194	1.33247
0.195	1.33895
0.196	1.34543
0.197	1.3519
0.198	1.35835
0.199	1.3648
0.2	1.37123
0.201	1.37765
0.202	1.38407
0.203	1.39047
0.204	1.39686
0.205	1.40323
0.206	1.4096
0.207	1.41595
0.208	1.42229
0.209	1.42862
0.21	1.43493
0.211	1.44123
0.212	1.44751
0.213	1.45378
0.214	1.46004
0.215	1.46628
0.216	1.47251
0.217	1.47872
0.218	1.48491
0.219	1.49109
0.22	1.49725
0.221	1.5034
0.222	1.50952
0.223	1.51563
0.224	1.52172
0.225	1.52779
0.226	1.53385
0.227	1.53988
0.228	1.5459
0.229	1.55189
0.23	1.55786
0.231	1.56381
0.232	1.56974
0.233	1.57565
0.234	1.58153
0.235	1.58739
0.236	1.59323
0.237	1.59904
0.238	1.60483
0.239	1.6106
0.24	1.61633
0.241	1.62204
0.242	1.62773
0.243	1.63338
0.244	1.63901
0.245	1.64461
0.246	1.65018
0.247	1.65571
0.248	1.66122
0.249	1.6667
0.25	1.67214
0.251	1.67755
0.252	1.68293
0.253	1.68827
0.254	1.69358
0.255	1.69885
0.256	1.70409
0.257	1.70929
0.258	1.71445
0.259	1.71957
0.26	1.72465
0.261	1.72969
0.262	1.73469
0.263	1.73965
0.264	1.74456
0.265	1.74943
0.266	1.75426
0.267	1.75903
0.268	1.76377
0.269	1.76845
0.27	1.77309
0.271	1.77768
0.272	1.78222
0.273	1.7867
0.274	1.79114
0.275	1.79552
0.276	1.79984
0.277	1.80412
0.278	1.80833
0.279	1.81249
0.28	1.81659
0.281	1.82063
0.282	1.82461
0.283	1.82853
0.284	1.83239
